topology,scenario,k,delay,phase1_mlu,current_apg_mlu,predictive_mlu,oracle_mlu,predictive_vs_phase1,predictive_vs_currapg,predictive_delta_mean_pct,abl_delta_mean_vs_currapg_pct
germany50,flash_crowd,20,2,21.024672,20.252805,20.252805,20.685165,WIN,TIE,-3.671,+0.000
germany50,flash_crowd,40,0,18.935455,18.868794,18.868794,18.868794,TIE,TIE,-0.352,+0.000
germany50,flash_crowd,40,1,20.040359,19.849095,19.849095,19.890437,TIE,TIE,-0.954,+0.000
germany50,flash_crowd,40,2,20.705942,20.306185,20.306185,20.380166,TIE,TIE,-1.931,+0.000
germany50,normal,10,0,20.282711,19.788594,19.788594,19.788594,TIE,TIE,-2.436,+0.000
germany50,normal,10,1,21.333112,20.876149,20.876149,20.876149,TIE,TIE,-2.142,+0.000
germany50,normal,10,2,21.718492,21.289308,21.289308,21.289308,TIE,TIE,-1.976,+0.000
germany50,normal,20,0,19.663172,19.036915,18.995733,19.039509,WIN,TIE,-3.394,-0.216
germany50,normal,20,1,20.576818,20.153676,20.151805,20.132912,WIN,TIE,-2.065,-0.009
germany50,normal,20,2,21.024672,20.252805,20.252805,20.685165,WIN,TIE,-3.671,+0.000
germany50,normal,40,0,18.935455,18.868794,18.868794,18.868794,TIE,TIE,-0.352,+0.000
germany50,normal,40,1,20.040359,19.849095,19.849095,19.890437,TIE,TIE,-0.954,+0.000
germany50,normal,40,2,20.705942,20.306185,20.306185,20.380166,TIE,TIE,-1.931,+0.000
germany50,ramp_up,10,0,24.746810,24.107472,24.107472,24.107472,TIE,TIE,-2.584,+0.000
germany50,ramp_up,10,1,26.144804,25.599564,25.599564,25.532847,TIE,TIE,-2.085,+0.000
germany50,ramp_up,10,2,26.549924,26.069511,26.069511,26.069511,TIE,TIE,-1.809,+0.000
germany50,ramp_up,20,0,24.020541,23.465864,23.465864,23.443071,WIN,TIE,-2.309,+0.000
germany50,ramp_up,20,1,25.395613,24.736714,24.736714,24.696512,WIN,TIE,-2.595,+0.000
germany50,ramp_up,20,2,25.829028,25.157963,25.157963,25.161829,WIN,TIE,-2.598,+0.000
germany50,ramp_up,40,0,23.439651,23.315086,23.337978,23.315086,TIE,TIE,-0.434,+0.098
germany50,ramp_up,40,1,24.986435,24.656161,24.706008,24.501945,WIN,TIE,-1.122,+0.202
germany50,ramp_up,40,2,25.612254,24.876410,24.959150,24.866658,WIN,LOSS,-2.550,+0.333
germany50,spike_2x,10,0,21.322915,20.854241,20.854241,20.854241,TIE,TIE,-2.198,+0.000
germany50,spike_2x,10,1,22.432295,21.998298,21.998298,21.998298,TIE,TIE,-1.935,+0.000
germany50,spike_2x,10,2,22.871527,22.460196,22.460196,22.460196,TIE,TIE,-1.798,+0.000
germany50,spike_2x,20,0,20.728819,20.061380,20.061380,20.063973,WIN,TIE,-3.220,+0.000
germany50,spike_2x,20,1,21.752901,21.379201,21.379201,21.358437,WIN,TIE,-1.718,+0.000
germany50,spike_2x,20,2,22.319879,21.618051,21.618051,21.992520,WIN,TIE,-3.144,+0.000
germany50,spike_2x,40,0,20.001102,19.934441,19.934441,19.934441,TIE,TIE,-0.333,+0.000
germany50,spike_2x,40,1,21.156200,21.027805,21.027805,21.015388,TIE,TIE,-0.607,+0.000
germany50,spike_2x,40,2,21.894149,21.560594,21.560594,21.555986,TIE,TIE,-1.523,+0.000
sprintlink,flash_crowd,10,0,879.604004,844.419092,844.419092,844.419092,TIE,TIE,-4.000,+0.000
sprintlink,flash_crowd,10,1,875.345542,840.271854,840.271854,840.271854,TIE,TIE,-4.007,+0.000
sprintlink,flash_crowd,10,2,872.250409,837.171105,837.171105,837.171105,TIE,TIE,-4.022,+0.000
sprintlink,flash_crowd,20,0,835.131407,814.210423,814.210423,814.210423,WIN,TIE,-2.505,+0.000
sprintlink,flash_crowd,20,1,831.171565,810.104685,810.104685,810.104685,WIN,TIE,-2.535,+0.000
sprintlink,flash_crowd,20,2,828.235936,807.145126,807.145126,807.145126,WIN,TIE,-2.546,+0.000
sprintlink,flash_crowd,40,0,814.210423,814.210423,814.210423,814.210423,TIE,TIE,+0.000,+0.000
sprintlink,flash_crowd,40,1,810.104685,810.104685,810.104685,810.104685,TIE,TIE,+0.000,+0.000
sprintlink,flash_crowd,40,2,807.145126,807.145126,807.145126,807.145126,TIE,TIE,+0.000,+0.000
sprintlink,normal,10,0,879.604004,847.644967,847.644967,847.644967,TIE,TIE,-3.633,+0.000
sprintlink,normal,10,1,875.345542,843.503159,843.503159,843.503159,TIE,TIE,-3.638,+0.000
sprintlink,normal,10,2,872.250409,840.513538,840.513538,840.513538,TIE,TIE,-3.639,+0.000
sprintlink,normal,20,0,835.131407,814.210423,814.210423,814.210423,WIN,TIE,-2.505,+0.000
sprintlink,normal,20,1,831.171565,810.104685,810.104685,810.104685,WIN,TIE,-2.535,+0.000
sprintlink,normal,20,2,828.235936,807.145126,807.145126,807.145126,WIN,TIE,-2.546,+0.000
sprintlink,normal,40,0,814.210423,814.210423,814.210423,814.210423,TIE,TIE,+0.000,+0.000
sprintlink,normal,40,1,810.104685,810.104685,810.104685,810.104685,TIE,TIE,+0.000,+0.000
sprintlink,normal,40,2,807.145126,807.145126,807.145126,807.145126,TIE,TIE,+0.000,+0.000
sprintlink,ramp_up,10,0,984.707667,973.241447,973.241447,973.241447,TIE,TIE,-1.164,+0.000
sprintlink,ramp_up,10,1,983.849805,972.432906,972.432906,972.432906,TIE,TIE,-1.160,+0.000
sprintlink,ramp_up,10,2,983.980102,972.683178,972.683178,972.683178,TIE,TIE,-1.148,+0.000
sprintlink,ramp_up,20,0,939.658569,919.314085,919.314085,919.314085,TIE,TIE,-2.165,+0.000
sprintlink,ramp_up,20,1,939.129691,918.608949,918.608949,918.608949,TIE,TIE,-2.185,+0.000
sprintlink,ramp_up,20,2,939.539185,918.874820,918.874820,918.874820,TIE,TIE,-2.199,+0.000
sprintlink,ramp_up,40,0,919.314085,919.314085,919.314085,919.314085,TIE,TIE,+0.000,+0.000
sprintlink,ramp_up,40,1,918.608949,918.608949,918.608949,918.608949,TIE,TIE,+0.000,+0.000
sprintlink,ramp_up,40,2,918.874820,918.874820,918.874820,918.874820,TIE,TIE,+0.000,+0.000
sprintlink,spike_2x,10,0,891.674094,857.116591,857.116591,857.116591,WIN,TIE,-3.876,+0.000
sprintlink,spike_2x,10,1,887.359994,852.926750,852.926750,852.926750,WIN,TIE,-3.880,+0.000
sprintlink,spike_2x,10,2,884.197324,849.950547,849.950547,849.950547,WIN,TIE,-3.873,+0.000
sprintlink,spike_2x,20,0,849.017323,830.662228,830.662228,830.662228,WIN,TIE,-2.162,+0.000
sprintlink,spike_2x,20,1,845.032735,826.556491,826.556491,826.556491,WIN,TIE,-2.186,+0.000
sprintlink,spike_2x,20,2,842.166490,823.596932,823.596932,823.596932,WIN,TIE,-2.205,+0.000
sprintlink,spike_2x,40,0,830.662228,830.662228,830.662228,830.662228,TIE,TIE,+0.000,+0.000
sprintlink,spike_2x,40,1,826.556491,826.556491,826.556491,826.556491,TIE,TIE,+0.000,+0.000
sprintlink,spike_2x,40,2,823.596932,823.596932,823.596932,823.596932,TIE,TIE,+0.000,+0.000
tiscali,flash_crowd,10,0,770.093036,769.565896,769.565896,769.565896,TIE,TIE,-0.068,+0.000
tiscali,flash_crowd,10,1,769.158826,767.902685,767.902685,767.902685,TIE,TIE,-0.163,+0.000
tiscali,flash_crowd,10,2,768.318723,766.730195,766.730195,766.730195,TIE,TIE,-0.207,+0.000
tiscali,flash_crowd,20,0,757.640461,763.924574,763.924574,763.924574,TIE,TIE,+0.829,+0.000
tiscali,flash_crowd,20,1,756.688258,761.865893,761.865893,761.865893,TIE,TIE,+0.684,+0.000
tiscali,flash_crowd,20,2,755.303071,760.479327,760.479327,760.479327,TIE,TIE,+0.685,+0.000
tiscali,flash_crowd,40,0,745.029161,744.714906,744.714906,744.714906,TIE,TIE,-0.042,+0.000
tiscali,flash_crowd,40,1,746.344356,746.829998,746.829998,746.829998,TIE,TIE,+0.065,+0.000
tiscali,flash_crowd,40,2,746.081305,746.243747,746.243747,745.754858,TIE,TIE,+0.022,+0.000
tiscali,normal,10,0,770.093036,769.565896,769.565896,769.565896,TIE,TIE,-0.068,+0.000
tiscali,normal,10,1,769.158826,767.894828,767.894828,767.894828,TIE,TIE,-0.164,+0.000
tiscali,normal,10,2,768.318723,766.730195,766.730195,766.730195,TIE,TIE,-0.207,+0.000
tiscali,normal,20,0,757.640461,763.924574,763.924574,763.924574,TIE,TIE,+0.829,+0.000
tiscali,normal,20,1,756.881572,761.865893,761.865893,761.865893,TIE,TIE,+0.659,+0.000
tiscali,normal,20,2,755.591081,760.479327,760.479327,760.479327,TIE,TIE,+0.647,+0.000
tiscali,normal,40,0,744.695032,744.623965,744.623965,744.623965,TIE,TIE,-0.010,+0.000
tiscali,normal,40,1,745.997799,746.664749,746.664749,746.664749,TIE,TIE,+0.089,+0.000
tiscali,normal,40,2,745.434545,746.150422,746.150422,745.661534,TIE,TIE,+0.096,+0.000
tiscali,ramp_up,10,0,770.093036,769.565896,769.565896,769.565896,TIE,TIE,-0.068,+0.000
tiscali,ramp_up,10,1,770.062371,769.477048,769.477048,769.477048,TIE,TIE,-0.076,+0.000
tiscali,ramp_up,10,2,769.088116,768.534386,768.534386,768.534386,TIE,TIE,-0.072,+0.000
tiscali,ramp_up,20,0,759.272818,763.924574,763.924574,763.924574,TIE,TIE,+0.613,+0.000
tiscali,ramp_up,20,1,760.636993,763.014199,763.014199,763.014199,TIE,TIE,+0.313,+0.000
tiscali,ramp_up,20,2,761.626545,762.742618,762.742618,762.742618,TIE,TIE,+0.147,+0.000
tiscali,ramp_up,40,0,747.543438,747.999273,747.999273,748.986481,TIE,TIE,+0.061,+0.000
tiscali,ramp_up,40,1,750.624085,751.965951,751.965951,753.295234,TIE,TIE,+0.179,+0.000
tiscali,ramp_up,40,2,751.616191,753.477905,753.477905,753.832308,TIE,TIE,+0.248,+0.000
tiscali,spike_2x,10,0,770.491392,769.565896,769.565896,769.565896,TIE,TIE,-0.120,+0.000
tiscali,spike_2x,10,1,770.376500,768.653964,768.653964,768.653964,TIE,TIE,-0.224,+0.000
tiscali,spike_2x,10,2,768.835165,767.555869,767.555869,767.555869,TIE,TIE,-0.166,+0.000
tiscali,spike_2x,20,0,757.640461,763.924574,763.924574,763.924574,TIE,TIE,+0.829,+0.000
tiscali,spike_2x,20,1,757.418412,762.075863,762.075863,762.075863,TIE,TIE,+0.615,+0.000
tiscali,spike_2x,20,2,758.750235,762.954657,762.954657,762.954657,WIN,TIE,+0.554,+0.000
tiscali,spike_2x,40,0,742.962874,741.370908,741.370908,741.370908,TIE,TIE,-0.214,+0.000
tiscali,spike_2x,40,1,746.317911,745.344750,745.344750,745.344750,TIE,TIE,-0.130,+0.000
tiscali,spike_2x,40,2,747.220062,745.718616,745.718616,745.718616,TIE,TIE,-0.201,+0.000
vtlwavenet2011,flash_crowd,10,0,11253.748226,11287.730969,11287.730969,11287.730969,TIE,TIE,+0.302,+0.000
vtlwavenet2011,flash_crowd,10,1,11208.833417,11238.921236,11238.921236,11238.921236,TIE,TIE,+0.268,+0.000
vtlwavenet2011,flash_crowd,10,2,11168.021701,11197.851094,11197.851094,11197.851094,TIE,TIE,+0.267,+0.000
vtlwavenet2011,flash_crowd,20,0,11252.984602,11223.880191,11223.880191,11223.880191,TIE,TIE,-0.259,+0.000
vtlwavenet2011,flash_crowd,20,1,11208.094883,11193.684837,11193.684837,11193.684837,TIE,TIE,-0.129,+0.000
vtlwavenet2011,flash_crowd,20,2,11167.020240,11151.576254,11151.576254,11151.576254,TIE,TIE,-0.138,+0.000
vtlwavenet2011,flash_crowd,40,0,11194.274699,11194.274699,11194.274699,11194.274699,TIE,TIE,+0.000,+0.000
vtlwavenet2011,flash_crowd,40,1,11169.958370,11169.958370,11169.958370,11169.958370,TIE,TIE,+0.000,+0.000
vtlwavenet2011,flash_crowd,40,2,11125.523181,11125.523181,11125.523181,11125.523181,TIE,TIE,+0.000,+0.000
vtlwavenet2011,normal,10,0,11253.748226,11287.730969,11287.730969,11287.730969,TIE,TIE,+0.302,+0.000
vtlwavenet2011,normal,10,1,11208.833417,11238.921236,11238.921236,11238.921236,TIE,TIE,+0.268,+0.000
vtlwavenet2011,normal,10,2,11168.021701,11197.851094,11197.851094,11197.851094,TIE,TIE,+0.267,+0.000
vtlwavenet2011,normal,20,0,11252.984602,11222.718120,11222.718120,11222.718120,TIE,TIE,-0.269,+0.000
vtlwavenet2011,normal,20,1,11208.094883,11192.655999,11192.655999,11192.655999,TIE,TIE,-0.138,+0.000
vtlwavenet2011,normal,20,2,11167.020240,11150.684133,11150.684133,11150.684133,TIE,TIE,-0.146,+0.000
vtlwavenet2011,normal,40,0,11193.112628,11193.112628,11193.112628,11193.112628,TIE,TIE,+0.000,+0.000
vtlwavenet2011,normal,40,1,11168.838141,11168.838141,11168.838141,11168.838141,TIE,TIE,+0.000,+0.000
vtlwavenet2011,normal,40,2,11124.943072,11124.943072,11124.943072,11124.943072,TIE,TIE,+0.000,+0.000
vtlwavenet2011,ramp_up,10,0,11403.092153,11381.343015,11381.343015,11381.343015,TIE,TIE,-0.191,+0.000
vtlwavenet2011,ramp_up,10,1,11357.344581,11336.122672,11336.122672,11336.122672,TIE,TIE,-0.187,+0.000
vtlwavenet2011,ramp_up,10,2,11320.599103,11299.131956,11299.131956,11299.131956,TIE,TIE,-0.190,+0.000
vtlwavenet2011,ramp_up,20,0,11345.218356,11329.426204,11329.426204,11329.426204,TIE,TIE,-0.139,+0.000
vtlwavenet2011,ramp_up,20,1,11304.991008,11289.843188,11289.843188,11289.843188,TIE,TIE,-0.134,+0.000
vtlwavenet2011,ramp_up,20,2,11267.935251,11251.992326,11251.992326,11251.992326,TIE,TIE,-0.141,+0.000
vtlwavenet2011,ramp_up,40,0,11290.864271,11290.864271,11290.864271,11290.864271,TIE,TIE,+0.000,+0.000
vtlwavenet2011,ramp_up,40,1,11259.242660,11259.242660,11259.242660,11259.242660,TIE,TIE,+0.000,+0.000
vtlwavenet2011,ramp_up,40,2,11219.419331,11219.419331,11219.419331,11219.419331,TIE,TIE,+0.000,+0.000
vtlwavenet2011,spike_2x,10,0,11272.288338,11305.742403,11305.742403,11305.742403,TIE,TIE,+0.297,+0.000
vtlwavenet2011,spike_2x,10,1,11227.373529,11256.054808,11256.054808,11256.054808,TIE,TIE,+0.255,+0.000
vtlwavenet2011,spike_2x,10,2,11186.561814,11214.786307,11214.786307,11214.786307,TIE,TIE,+0.252,+0.000
vtlwavenet2011,spike_2x,20,0,11248.520463,11271.524714,11271.524714,11271.524714,TIE,TIE,+0.205,+0.000
vtlwavenet2011,spike_2x,20,1,11216.939057,11226.634995,11226.634995,11226.634995,TIE,TIE,+0.086,+0.000
vtlwavenet2011,spike_2x,20,2,11177.006528,11185.560352,11185.560352,11185.560352,TIE,TIE,+0.077,+0.000
vtlwavenet2011,spike_2x,40,0,11207.849453,11207.849453,11207.849453,11207.849453,TIE,TIE,+0.000,+0.000
vtlwavenet2011,spike_2x,40,1,11181.949259,11181.949259,11181.949259,11181.949259,TIE,TIE,+0.000,+0.000
vtlwavenet2011,spike_2x,40,2,11139.193024,11139.193024,11139.193024,11139.193024,TIE,TIE,+0.000,+0.000
